date,CC13_01_Nahrungsmittel_und_alkoholfreie_Getränke,CC13_02_Alkoholische_Getränke_und_Tabakwaren,CC13_03_Bekleidung_und_Schuhe,CC13_04_Wohnung_Wasser_Strom_Gas_und_andere_Brennstoffe,CC13_05_Möbel_Leuchten_Geräte_u.a._Haushaltszubehör,CC13_06_Gesundheit,CC13_07_Verkehr,CC13_08_Post_und_Telekommunikation,CC13_09_Freizeit_Unterhaltung_und_Kultur,CC13_10_Bildungswesen,CC13_11_Gaststätten__und_Beherbergungsdienstleistungen,CC13_12_Andere_Waren_und_Dienstleistungen
2009-01-15,127.85714285714285,169.92031872509958,109.4272076372315,171.9626168224299,117.25826193390452,161.00840336134453,165.37753222836096,72.1656050955414,112.03473945409431,255.9241706161137,145.3488372093023,152.67558528428094
2009-02-15,128.0,170.1195219123506,111.81384248210024,172.14953271028037,117.87025703794369,161.1764705882353,166.4825046040516,72.03821656050955,114.64019851116628,256.3981042654028,147.00996677740864,152.84280936454851
2009-03-15,127.28571428571426,170.31872509960158,113.48448687350836,171.9626168224299,118.23745410036719,161.34453781512605,165.93001841620628,71.84713375796179,113.77171215880895,255.4502369668246,145.51495016611292,153.01003344481606
2009-04-15,126.85714285714285,170.31872509960158,113.72315035799522,171.40186915887853,118.35985312117504,162.18487394957984,167.58747697974218,71.91082802547771,114.01985111662532,255.21327014218008,145.3488372093023,153.34448160535118
2009-05-15,126.28571428571429,170.51792828685257,112.76849642004774,171.21495327102804,118.48225214198284,162.18487394957984,168.50828729281767,71.71974522292993,113.0272952853598,255.4502369668246,146.51162790697674,153.6789297658863
2009-06-15,126.71428571428571,174.90039840637448,111.45584725536995,171.58878504672896,118.84944920440634,162.18487394957984,170.7182320441989,71.656050955414,112.77915632754343,255.68720379146922,147.67441860465115,153.51170568561875
2009-07-15,125.28571428571429,174.90039840637448,107.75656324582339,171.02803738317758,118.72705018359852,162.35294117647058,169.4290976058932,71.59235668789809,116.50124069478909,255.68720379146922,151.49501661129568,153.84615384615387
2009-08-15,124.14285714285715,175.49800796812747,110.381861575179,171.21495327102804,118.84944920440634,162.35294117647058,171.4548802946593,71.46496815286625,116.62531017369729,251.89573459715638,150.66445182724252,154.18060200668896
2009-09-15,123.85714285714286,175.49800796812747,114.20047732696898,171.02803738317758,118.9718482252142,162.18487394957984,169.7974217311234,71.40127388535032,114.26799007444168,251.42180094786727,146.843853820598,154.18060200668896
2009-10-15,123.71428571428571,175.69721115537848,115.39379474940334,171.02803738317758,118.9718482252142,162.35294117647058,170.1657458563536,71.40127388535032,113.89578163771712,251.65876777251185,146.51162790697674,155.1839464882943
2009-11-15,124.14285714285715,175.69721115537848,113.48448687350836,171.02803738317758,118.35985312117504,162.35294117647058,171.08655616942912,71.14649681528662,113.0272952853598,252.36966824644549,145.51495016611292,154.8494983277592
2009-12-15,124.85714285714286,175.69721115537848,114.91646778042958,170.65420560747663,118.84944920440634,162.52100840336135,170.902394106814,71.01910828025477,118.11414392059554,252.36966824644549,153.98671096345515,155.1839464882943
2010-01-15,126.42857142857142,175.69721115537848,109.90453460620525,171.58878504672896,118.48225214198284,162.6890756302521,172.55985267034993,70.82802547770702,111.41439205955335,254.26540284360186,148.67109634551494,155.01672240802677
